NAME       ID         CH         MA         EN         TOTAL      RANKING   
A100       100        1          100        100        201        1         
A99        99         2          99         99         200        2         
A98        98         3          98         98         199        3         
A97        97         4          97         97         198        4         
A96        96         5          96         96         197        5         
A95        95         6          95         95         196        6         
A94        94         7          94         94         195        7         
A93        93         8          93         93         194        8         
A92        92         9          92         92         193        9         
A91        91         10         91         91         192        10        
A90        90         11         90         90         191        11        
A89        89         12         89         89         190        12        
A88        88         13         88         88         189        13        
A87        87         14         87         87         188        14        
A86        86         15         86         86         187        15        
A85        85         16         85         85         186        16        
A84        84         17         84         84         185        17        
A83        83         18         83         83         184        18        
A82        82         19         82         82         183        19        
A81        81         20         81         81         182        20        
A80        80         21         80         80         181        21        
A79        79         22         79         79         180        22        
A78        78         23         78         78         179        23        
A77        77         24         77         77         178        24        
A76        76         25         76         76         177        25        
A75        75         26         75         75         176        26        
A74        74         27         74         74         175        27        
A73        73         28         73         73         174        28        
A72        72         29         72         72         173        29        
A71        71         30         71         71         172        30        
A70        70         31         70         70         171        31        
A69        69         32         69         69         170        32        
A68        68         33         68         68         169        33        
A67        67         34         67         67         168        34        
A66        66         35         66         66         167        35        
A65        65         36         65         65         166        36        
A64        64         37         64         64         165        37        
A63        63         38         63         63         164        38        
A62        62         39         62         62         163        39        
A61        61         40         61         61         162        40        
A60        60         41         60         60         161        41        
A59        59         42         59         59         160        42        
A58        58         43         58         58         159        43        
A57        57         44         57         57         158        44        
A56        56         45         56         56         157        45        
A55        55         46         55         55         156        46        
A54        54         47         54         54         155        47        
A53        53         48         53         53         154        48        
A52        52         49         52         52         153        49        
A51        51         50         51         51         152        50        
A50        50         51         50         50         151        51        
A49        49         52         49         49         150        52        
A48        48         53         48         48         149        53        
A47        47         54         47         47         148        54        
A46        46         55         46         46         147        55        
A45        45         56         45         45         146        56        
A44        44         57         44         44         145        57        
A43        43         58         43         43         144        58        
A42        42         59         42         42         143        59        
A41        41         60         41         41         142        60        
A40        40         61         40         40         141        61        
A39        39         62         39         39         140        62        
A38        38         63         38         38         139        63        
A37        37         64         37         37         138        64        
A36        36         65         36         36         137        65        
A35        35         66         35         35         136        66        
A34        34         67         34         34         135        67        
A33        33         68         33         33         134        68        
A32        32         69         32         32         133        69        
A31        31         70         31         31         132        70        
A30        30         71         30         30         131        71        
A29        29         72         29         29         130        72        
A28        28         73         28         28         129        73        
A27        27         74         27         27         128        74        
A26        26         75         26         26         127        75        
A25        25         76         25         25         126        76        
A24        24         77         24         24         125        77        
A23        23         78         23         23         124        78        
A22        22         79         22         22         123        79        
A21        21         80         21         21         122        80        
A20        20         81         20         20         121        81        
A19        19         82         19         19         120        82        
A18        18         83         18         18         119        83        
A17        17         84         17         17         118        84        
A16        16         85         16         16         117        85        
A15        15         86         15         15         116        86        
A14        14         87         14         14         115        87        
A13        13         88         13         13         114        88        
A12        12         89         12         12         113        89        
A11        11         90         11         11         112        90        
A10        10         91         10         10         111        91        
A9         9          92         9          9          110        92        
A8         8          93         8          8          109        93        
A7         7          94         7          7          108        94        
A6         6          95         6          6          107        95        
A5         5          96         5          5          106        96        
A4         4          97         4          4          105        97        
A3         3          98         3          3          104        98        
A2         2          99         2          2          103        99        
A1         1          100        1          1          102        100       
